City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,talnakh,69.4865,88.3972,285.54,97,99,1.25,RU,1724791787
110,alice springs,-23.7,133.8833,285.9,62,0,1.03,AU,1724791788
111,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,100,100,1.0,RU,1724791583
112,tianpeng,30.9866,103.9393,299.58,72,33,1.13,CN,1724791792
113,shimoda,34.6667,138.95,299.46,87,100,2.2,JP,1724791793
114,agat village,13.3886,144.6585,300.02,94,40,1.54,GU,1724791794
115,nadi,-17.8,177.4167,294.15,78,20,3.09,FJ,1724791795
116,kapuskasing,49.4169,-82.4331,293.15,52,75,4.63,CA,1724791797
117,korsakov,46.6328,142.7813,291.06,98,100,2.74,RU,1724791737
118,enewetak,11.3474,162.3373,302.0,81,90,9.06,MH,1724791799
119,dhidhdhoo,6.8833,73.1,300.91,77,24,2.77,MV,1724791782
120,roma,43.2128,-75.4557,303.53,44,0,2.68,US,1724790969
121,usogorsk,63.4106,48.6872,286.28,68,97,2.27,RU,1724791802
122,port saint john's,-31.6229,29.5448,292.85,73,0,7.48,ZA,1724791803
123,chifeng,42.2683,118.9636,289.28,67,5,1.96,CN,1724791805
124,pisco,-13.7,-76.2167,291.18,77,24,4.12,PE,1724791562
125,tura,25.5198,90.2201,296.95,93,22,1.24,IN,1724791634
126,isafjordur,66.0755,-23.124,279.1,86,39,2.74,IS,1724791808
127,lompoc,34.6391,-120.4579,295.11,61,0,6.69,US,1724791809
128,i-n-salah,27.1935,2.4607,312.0,15,72,6.14,DZ,1724791810
129,morogoro,-6.8167,37.6667,295.17,88,89,2.09,TZ,1724791811
130,figuig (centre),32.1089,-1.2286,305.91,19,45,3.92,MA,1724791813
131,santo antonio do leverger,-15.8656,-56.0767,307.36,17,0,1.56,BR,1724791814
132,payson,40.0444,-111.7321,302.73,28,0,1.34,US,1724791815
133,whitehorse,60.7161,-135.0538,287.65,44,75,6.17,CA,1724791816
134,arraial do cabo,-22.9661,-42.0278,293.07,64,0,4.12,BR,1724791597
135,sterling,39.0062,-77.4286,307.65,47,75,2.06,US,1724791818
136,hadibu,12.65,54.0333,299.81,81,81,7.63,YE,1724791735
137,albany,42.6001,-73.9662,303.11,63,4,0.68,US,1724791821
138,belyy yar,53.6039,91.3903,287.09,94,0,2.0,RU,1724791822
139,hanceville,34.0607,-86.7675,308.26,20,0,1.83,US,1724791823
140,aasiaat,68.7098,-52.8699,275.48,97,100,4.13,GL,1724791824
